"Task","X","Y"
5,0.528257503174245,0.0567040688412104
5,0.539315077476203,0.00746635739872623
5,0.603318910580128,-0.330531694628793
5,0.942246311809868,-0.68482428628648
5,0.946580605581403,-0.673664906516171
6,-0.989894102793187,-1.26159139181455
6,-0.853761807549745,-1.60308156472227
6,-0.813857489731163,-1.50728321261708
6,-0.796510425861925,-1.44024179594381
6,-0.719593131449074,-1.01267666786855
6,-0.665632032323629,-0.66242167552175
6,-0.663867686409503,-0.651260870518829
6,-0.653182696085423,-0.584683919882813
6,-0.594589757267386,-0.266902404837397
6,-0.449379503726959,0.0139421034504909
6,-0.288759403862059,-0.259563358435561
6,-0.276452315505594,-0.290255523027856
6,-0.265546985436231,-0.318305292454748
6,-0.261333632282913,-0.32936656229631
6,-0.123860174790025,-0.776639216236549
6,-0.112168808933347,-0.822324318586461
6,0.0632602232508361,-1.35861808085612
6,0.194703965447843,-1.0304247978965
6,0.200276254210621,-0.999579048898026
6,0.200551498215646,-0.998028455304982
6,0.375222590751946,0.0456267417744113
6,0.587046497967094,-0.325468171997172
6,0.765837701037526,-0.920010310281706
6,0.871423469856381,-0.731643355577813
6,0.907355498056859,-0.613992612689503
7,-0.985174694098532,-1.39914654619001
7,-0.773668774403632,-1.44313115488967
7,-0.674961796496063,-0.847160889817148
7,-0.526440166402608,-0.214946292865234
7,-0.459948864299804,-0.173031161711157
7,-0.383738759439439,-0.250792830875973
7,-0.15968061145395,-0.766968823909191
7,-0.129102719947696,-0.876318971321869
7,-0.115130602847785,-0.929698422906761
7,-0.0649721273221076,-1.1309536054658
7,-0.0458858679048717,-1.20707247893692
7,-0.0324021875858307,-1.25886151959982
7,-0.0070489807985723,-1.34843227577863
7,0.023406270891428,-1.43527952199973
7,0.0280721872113645,-1.44597479505408
7,0.197730820160359,-1.12874887129047
7,0.22009933181107,-0.985055895870029
7,0.279427745845169,-0.552108667302461
7,0.426683716010302,0.209292226107727
7,0.503454048652202,0.136474909087243
7,0.612813079729676,-0.390500753862311
7,0.753577490337193,-0.938583388291636
7,0.909207789693028,-0.788726585252272
7,0.912291569169611,-0.78116816286111
7,0.95293755363673,-0.679096910145537
8,-0.929949033539742,-0.234155622512958
8,-0.869489482138306,-0.274262820005224
8,-0.690907001961023,-0.10683302984033
8,-0.648289679549634,-0.0102922386219307
8,-0.605314885266125,0.106985296726963
8,-0.500321614090353,0.452457535424298
8,-0.259040866978467,0.818620214968284
8,-0.163624823093414,0.525733232839521
8,-0.156974395737052,0.498800609528242
8,0.0366242378950119,-0.00296856024856369
8,0.0835288702510297,0.101438526613046
8,0.112778266426176,0.2236840473912
8,0.120083057787269,0.260529833331825
8,0.121161140035838,0.26616827207561
8,0.206639331299812,0.83721283774978
8,0.268866812810302,1.30488271963715
8,0.303334298543632,1.53233621436824
8,0.454016601666808,1.84432282799841
8,0.463197134435177,1.82162719436445
8,0.511707399506122,1.63581974457313
8,0.564561618957669,1.34316159710498
8,0.601062249392271,1.11731085163621
8,0.740220986772329,0.408383158775267
8,0.835204584524035,0.184030114108669
8,0.958394008688629,-0.0301048231626815
